id_cuenta_1,id_cuenta_2,fecha_vinculo,tipo_vinculo,confianza
163,1496,2024-08-01,Mismo propietario,0.47
163,556,2021-12-19,Transferencias frecuentes,0.76
164,79,2022-04-10,Mismo propietario,0.62
164,1313,2020-10-21,Transferencias frecuentes,0.78
166,394,2020-01-31,Mismo propietario,0.44
166,567,2021-08-27,Transferencias frecuentes,0.84
167,211,2020-02-09,Transferencias circulares,0.74
168,343,2021-11-10,Mismo propietario,0.87
169,553,2021-01-14,Transferencias frecuentes,0.6
171,432,2023-11-10,Mismo propietario,0.67
172,258,2021-09-29,Transferencias circulares,0.57
173,1044,2024-09-14,Transferencias circulares,0.72
173,397,2020-12-05,Transferencias frecuentes,0.88
175,54,2021-01-12,Transferencias frecuentes,0.59
176,536,2023-08-26,Mismo propietario,0.72
180,522,2022-10-04,Transferencias frecuentes,0.44
180,977,2024-12-21,Transferencias frecuentes,0.52
181,1407,2023-12-29,Mismo propietario,0.77
186,1284,2023-09-29,Transferencias frecuentes,0.94
186,93,2020-03-09,Transferencias circulares,0.5
187,308,2021-03-15,Transferencias circulares,0.93
187,273,2020-04-06,Transferencias frecuentes,0.45
188,981,2023-08-04,Transferencias frecuentes,0.66
188,764,2024-04-22,Transferencias frecuentes,0.53
193,1359,2024-01-30,Mismo propietario,0.46
195,774,2022-04-30,Transferencias circulares,0.48
197,694,2022-11-05,Mismo propietario,0.77
198,1263,2020-05-25,Transferencias circulares,0.68
199,1423,2024-11-27,Mismo propietario,0.85
199,234,2024-09-15,Transferencias frecuentes,0.76
200,602,2024-06-29,Mismo propietario,0.77
202,331,2023-05-06,Mismo propietario,0.62
202,389,2022-10-03,Mismo propietario,0.68
204,429,2020-06-30,Transferencias circulares,0.72
204,1076,2023-09-08,Mismo propietario,0.37
205,820,2021-04-15,Transferencias frecuentes,0.83
207,72,2023-05-20,Transferencias frecuentes,0.36
207,532,2024-02-07,Transferencias frecuentes,0.55
209,1241,2024-06-13,Mismo propietario,0.6
210,1388,2021-06-14,Transferencias circulares,0.67
212,1384,2021-06-17,Transferencias frecuentes,0.91
212,878,2022-01-30,Transferencias circulares,0.48
213,813,2021-12-24,Transferencias frecuentes,0.94
214,989,2023-11-02,Transferencias circulares,0.82
215,561,2023-05-07,Transferencias frecuentes,0.6
215,463,2021-12-14,Transferencias frecuentes,0.43
217,749,2022-04-26,Transferencias frecuentes,0.83
220,1366,2023-05-15,Mismo propietario,0.57
221,223,2021-11-16,Transferencias circulares,0.65
223,438,2024-09-28,Transferencias frecuentes,0.69
223,614,2022-09-24,Mismo propietario,0.32
224,875,2022-07-05,Mismo propietario,0.94
224,746,2023-10-04,Mismo propietario,0.35
225,1157,2023-01-27,Transferencias circulares,0.44
226,529,2020-07-18,Mismo propietario,0.55
227,788,2023-04-05,Transferencias circulares,0.78
227,420,2022-11-08,Transferencias circulares,0.4
228,338,2024-10-02,Transferencias circulares,0.37
228,587,2023-08-09,Transferencias circulares,0.45
229,437,2024-03-23,Mismo propietario,0.72
230,327,2023-06-09,Transferencias frecuentes,0.64
230,461,2020-06-21,Transferencias circulares,0.35
231,1410,2023-09-12,Transferencias circulares,0.57
232,541,2024-12-19,Mismo propietario,0.81
232,918,2022-12-09,Mismo propietario,0.84
233,409,2020-09-25,Transferencias frecuentes,0.6
234,178,2020-07-17,Mismo propietario,0.7
234,515,2024-09-10,Transferencias frecuentes,0.73
236,1235,2022-10-17,Transferencias circulares,0.35
237,957,2023-11-06,Transferencias frecuentes,0.76
237,703,2021-04-12,Transferencias circulares,0.67
238,947,2021-07-03,Transferencias frecuentes,0.53
238,557,2020-06-07,Transferencias circulares,0.34
239,1195,2021-09-04,Transferencias circulares,0.88
239,1233,2022-12-30,Transferencias circulares,0.51
242,592,2020-12-11,Mismo propietario,0.35
245,636,2020-02-28,Mismo propietario,0.53
248,1393,2021-11-04,Transferencias circulares,0.67
248,448,2023-08-23,Mismo propietario,0.32
251,484,2021-12-08,Mismo propietario,0.74
251,459,2020-06-27,Transferencias circulares,0.67
255,1323,2024-11-13,Transferencias circulares,0.9
256,824,2020-03-15,Transferencias frecuentes,0.88
258,1284,2022-01-04,Mismo propietario,0.73
258,1167,2023-03-23,Transferencias circulares,0.82
259,938,2020-12-31,Mismo propietario,0.8
259,467,2020-07-24,Transferencias circulares,0.52
260,147,2020-01-17,Transferencias circulares,0.58
260,906,2024-09-17,Transferencias frecuentes,0.47
261,265,2024-02-19,Transferencias circulares,0.53
261,1408,2022-07-08,Transferencias circulares,0.31
263,571,2023-10-05,Transferencias frecuentes,0.84
264,555,2020-11-02,Transferencias circulares,0.72
267,1165,2024-10-03,Transferencias circulares,0.48
268,1030,2022-09-20,Mismo propietario,0.92
268,1358,2020-06-10,Transferencias circulares,0.77
269,579,2024-04-15,Transferencias circulares,0.75
270,156,2020-12-25,Transferencias frecuentes,0.4
271,1167,2022-02-16,Transferencias frecuentes,0.53
272,419,2024-03-30,Mismo propietario,0.33
272,803,2020-10-26,Mismo propietario,0.39
273,286,2022-03-12,Mismo propietario,0.76
275,183,2020-08-15,Transferencias frecuentes,0.85
276,1094,2022-08-29,Transferencias frecuentes,0.76
276,962,2020-07-29,Mismo propietario,0.41
277,1039,2021-07-27,Mismo propietario,0.78
277,620,2022-10-28,Mismo propietario,0.93
278,108,2023-03-10,Mismo propietario,0.47
278,242,2021-06-30,Mismo propietario,0.67
279,1054,2021-05-16,Transferencias circulares,0.87
280,722,2022-04-09,Transferencias circulares,0.33
280,891,2024-07-08,Mismo propietario,0.63
281,848,2022-07-19,Mismo propietario,0.64
281,682,2021-04-17,Transferencias circulares,0.39
282,923,2024-04-18,Mismo propietario,0.82
282,1256,2021-03-04,Transferencias frecuentes,0.45
283,156,2024-11-25,Transferencias circulares,0.67
286,1499,2020-02-14,Transferencias frecuentes,0.81
287,814,2020-08-16,Transferencias circulares,0.54
287,898,2024-12-05,Transferencias circulares,0.82
288,272,2024-11-11,Transferencias circulares,0.42
289,1096,2021-02-12,Mismo propietario,0.78
291,448,2022-07-14,Transferencias frecuentes,0.6
291,1127,2022-06-06,Mismo propietario,0.65
292,44,2022-07-23,Mismo propietario,0.92
292,239,2023-11-14,Transferencias frecuentes,0.33
293,692,2021-09-11,Mismo propietario,0.55
294,799,2021-03-28,Transferencias circulares,0.55
296,400,2023-12-16,Transferencias circulares,0.73
299,293,2024-06-18,Transferencias circulares,0.83
299,361,2021-03-07,Transferencias frecuentes,0.89
