id_usuario_reportador,id_usuario_reportado,fecha_reporte,tipo_reporte,estado,comentarios
95,65,2025-03-10,Comportamiento sospechoso,Nuevo,Reporte_5169
95,131,2023-11-20,Comportamiento sospechoso,Cerrado,Reporte_3307
96,327,2025-09-24,Fraude,Cerrado,Reporte_6971
96,760,2022-05-09,Fraude,En revisión,Reporte_6018
97,941,2023-06-28,Solicitud de datos,Cerrado,Reporte_7123
97,882,2022-01-18,Comportamiento sospechoso,En revisión,Reporte_7077
99,864,2022-12-17,Comportamiento sospechoso,En revisión,Reporte_3502
101,576,2022-02-17,Phishing,Cerrado,Reporte_3508
101,432,2022-01-06,Phishing,Cerrado,Reporte_8863
102,759,2025-12-07,Comportamiento sospechoso,Cerrado,Reporte_1398
102,834,2023-10-23,Solicitud de datos,Cerrado,Reporte_7948
103,844,2025-07-27,Solicitud de datos,Cerrado,Reporte_4238
103,951,2023-03-01,Comportamiento sospechoso,Nuevo,Reporte_1587
105,564,2025-05-24,Solicitud de datos,En revisión,Reporte_2472
105,88,2022-04-17,Solicitud de datos,En revisión,Reporte_4281
108,917,2024-05-15,Solicitud de datos,Cerrado,Reporte_6632
108,250,2024-01-17,Fraude,Cerrado,Reporte_6803
109,634,2022-08-07,Solicitud de datos,Nuevo,Reporte_2318
110,533,2024-03-30,Phishing,Cerrado,Reporte_4856
111,725,2024-01-02,Comportamiento sospechoso,Nuevo,Reporte_6649
111,105,2022-03-01,Phishing,En revisión,Reporte_7621
112,449,2023-04-29,Fraude,Cerrado,Reporte_9861
114,556,2025-09-21,Fraude,Cerrado,Reporte_2506
116,497,2022-09-20,Solicitud de datos,Cerrado,Reporte_5548
116,441,2022-01-29,Fraude,Nuevo,Reporte_2997
118,446,2024-04-30,Phishing,Cerrado,Reporte_2973
119,817,2022-05-14,Fraude,Cerrado,Reporte_9350
119,274,2025-01-20,Comportamiento sospechoso,En revisión,Reporte_8476
120,622,2025-08-17,Phishing,Cerrado,Reporte_4674
120,854,2024-11-26,Fraude,Nuevo,Reporte_5096
123,503,2024-04-11,Solicitud de datos,Cerrado,Reporte_7525
124,562,2023-06-26,Solicitud de datos,Nuevo,Reporte_6435
125,109,2022-02-25,Fraude,En revisión,Reporte_6243
125,173,2025-03-21,Solicitud de datos,Cerrado,Reporte_2677
126,680,2023-02-20,Fraude,En revisión,Reporte_4074
127,944,2022-07-21,Fraude,Nuevo,Reporte_9262
127,876,2024-06-30,Comportamiento sospechoso,Nuevo,Reporte_4129
129,3,2024-04-21,Fraude,En revisión,Reporte_4697
129,350,2025-12-09,Comportamiento sospechoso,Cerrado,Reporte_9017
131,489,2024-06-23,Phishing,Nuevo,Reporte_8025
132,296,2022-05-01,Fraude,En revisión,Reporte_3915
133,578,2023-12-02,Phishing,En revisión,Reporte_6890
134,466,2025-06-07,Solicitud de datos,Nuevo,Reporte_9750
135,693,2022-03-05,Phishing,En revisión,Reporte_3537
135,329,2025-03-24,Comportamiento sospechoso,En revisión,Reporte_2749
136,739,2024-12-31,Phishing,En revisión,Reporte_6173
139,567,2022-09-13,Fraude,Nuevo,Reporte_9146
141,245,2024-03-24,Comportamiento sospechoso,Cerrado,Reporte_7640
141,361,2025-12-07,Solicitud de datos,En revisión,Reporte_2107
142,645,2022-03-30,Comportamiento sospechoso,Nuevo,Reporte_9169
142,178,2023-01-24,Solicitud de datos,En revisión,Reporte_6087
144,314,2024-08-25,Solicitud de datos,Cerrado,Reporte_1917
146,177,2024-06-01,Fraude,En revisión,Reporte_5862
147,395,2025-03-05,Phishing,En revisión,Reporte_9424
147,934,2024-12-05,Phishing,Cerrado,Reporte_8943
148,566,2023-06-29,Solicitud de datos,Cerrado,Reporte_2837
148,964,2025-12-28,Solicitud de datos,En revisión,Reporte_6289
149,658,2022-06-15,Comportamiento sospechoso,En revisión,Reporte_5241
149,362,2022-02-04,Phishing,Nuevo,Reporte_4210
152,650,2024-11-10,Fraude,En revisión,Reporte_3607
153,271,2022-09-20,Comportamiento sospechoso,Cerrado,Reporte_2685
154,805,2025-05-16,Solicitud de datos,En revisión,Reporte_5911
155,913,2025-10-23,Phishing,En revisión,Reporte_4555
156,719,2023-01-13,Fraude,En revisión,Reporte_2874
157,520,2025-04-16,Phishing,Cerrado,Reporte_5371
159,123,2024-12-08,Comportamiento sospechoso,Nuevo,Reporte_5745
160,602,2022-05-01,Fraude,En revisión,Reporte_1325
160,405,2024-10-05,Fraude,Cerrado,Reporte_9099
161,130,2023-07-03,Fraude,Cerrado,Reporte_3088
162,221,2023-03-18,Fraude,Nuevo,Reporte_3993
162,481,2023-03-24,Phishing,Cerrado,Reporte_6276
164,915,2025-05-15,Phishing,En revisión,Reporte_9093
164,26,2022-10-19,Solicitud de datos,Cerrado,Reporte_9130
167,172,2023-12-24,Solicitud de datos,Nuevo,Reporte_6897
167,464,2024-10-02,Phishing,Cerrado,Reporte_3015
168,337,2023-05-08,Solicitud de datos,Nuevo,Reporte_8287
169,789,2024-02-23,Fraude,Nuevo,Reporte_7432
169,120,2024-12-14,Comportamiento sospechoso,Nuevo,Reporte_7699
170,164,2025-04-12,Phishing,Nuevo,Reporte_7745
170,598,2022-06-01,Comportamiento sospechoso,En revisión,Reporte_2768
171,562,2023-03-02,Fraude,Nuevo,Reporte_4180
173,377,2024-02-16,Comportamiento sospechoso,En revisión,Reporte_2335
173,330,2025-02-07,Solicitud de datos,Cerrado,Reporte_8948
174,534,2022-11-01,Solicitud de datos,En revisión,Reporte_9784
175,214,2025-11-01,Phishing,Nuevo,Reporte_9948
175,909,2025-09-03,Phishing,Cerrado,Reporte_1297
176,768,2022-09-23,Fraude,En revisión,Reporte_9062
176,246,2025-07-28,Phishing,Nuevo,Reporte_9755
178,421,2022-07-24,Solicitud de datos,Cerrado,Reporte_4027
178,146,2024-10-27,Solicitud de datos,Cerrado,Reporte_5734
179,239,2022-06-28,Fraude,Nuevo,Reporte_9276
182,534,2022-08-17,Solicitud de datos,Nuevo,Reporte_2041
185,177,2025-02-14,Comportamiento sospechoso,En revisión,Reporte_2018
187,557,2025-05-23,Solicitud de datos,En revisión,Reporte_2770
188,426,2023-12-15,Phishing,Cerrado,Reporte_8091
188,669,2023-05-07,Fraude,Nuevo,Reporte_7659
189,630,2024-12-12,Fraude,Nuevo,Reporte_3271
190,692,2024-06-26,Phishing,Cerrado,Reporte_7657
190,445,2024-02-27,Phishing,Cerrado,Reporte_1337
191,70,2023-02-21,Solicitud de datos,En revisión,Reporte_2101
191,858,2022-11-22,Phishing,Cerrado,Reporte_2170
192,453,2023-12-08,Solicitud de datos,En revisión,Reporte_4496
192,770,2023-11-26,Fraude,Cerrado,Reporte_9737
195,886,2022-01-21,Comportamiento sospechoso,En revisión,Reporte_4613
195,23,2022-07-14,Phishing,En revisión,Reporte_1453
196,287,2024-11-10,Phishing,En revisión,Reporte_2621
197,219,2025-08-05,Phishing,En revisión,Reporte_7868
197,479,2022-10-29,Fraude,En revisión,Reporte_2033
198,603,2022-02-07,Fraude,En revisión,Reporte_8926
198,229,2023-07-21,Phishing,En revisión,Reporte_3834
