id_usuario,id_dispositivo,fecha_intento,resultado,cantidad_intentos,razon_fallo
51,525,2024-01-30,Fallido,8,Sin problema
52,125,2025-03-31,Exitoso,7,Dispositivo bloqueado
52,2,2024-02-22,Fallido,2,Dispositivo bloqueado
52,112,2022-09-11,Bloqueado,3,Contraseña incorrecta
53,295,2022-08-19,Exitoso,3,Dispositivo bloqueado
53,64,2022-06-09,Exitoso,3,Contraseña incorrecta
54,200,2022-11-20,Bloqueado,2,Contraseña incorrecta
54,583,2025-03-29,Bloqueado,3,Dispositivo bloqueado
55,290,2023-01-18,Fallido,4,Dispositivo bloqueado
56,177,2022-10-09,Exitoso,5,Sin problema
57,96,2022-04-18,Bloqueado,2,Dispositivo bloqueado
57,230,2025-10-29,Exitoso,2,Sin problema
57,337,2025-06-04,Fallido,9,Dispositivo bloqueado
57,184,2025-09-17,Bloqueado,2,Dispositivo bloqueado
58,332,2022-09-04,Bloqueado,10,Dispositivo bloqueado
58,126,2025-07-03,Bloqueado,8,Sin problema
59,417,2023-05-10,Exitoso,2,Sin problema
59,111,2023-12-14,Fallido,4,Sin problema
59,446,2025-11-15,Fallido,1,Sin problema
59,300,2022-08-13,Exitoso,5,Contraseña incorrecta
60,417,2023-06-22,Bloqueado,6,Limitado por hora
61,31,2025-07-13,Exitoso,10,Contraseña incorrecta
61,181,2025-12-15,Fallido,4,Limitado por hora
62,149,2025-08-20,Bloqueado,10,Contraseña incorrecta
62,467,2022-09-25,Fallido,3,Sin problema
62,323,2024-02-15,Fallido,7,Limitado por hora
63,436,2024-06-29,Exitoso,3,Limitado por hora
64,278,2025-12-15,Exitoso,2,Contraseña incorrecta
64,23,2023-12-15,Bloqueado,8,Contraseña incorrecta
64,329,2023-02-18,Exitoso,3,Dispositivo bloqueado
65,45,2024-07-27,Bloqueado,4,Sin problema
65,406,2025-02-12,Fallido,9,Limitado por hora
65,565,2024-06-13,Exitoso,10,Contraseña incorrecta
65,63,2025-12-28,Bloqueado,3,Contraseña incorrecta
66,296,2022-04-03,Fallido,1,Contraseña incorrecta
66,414,2022-07-09,Fallido,7,Dispositivo bloqueado
66,328,2025-11-05,Exitoso,2,Dispositivo bloqueado
67,134,2022-12-06,Fallido,9,Dispositivo bloqueado
67,531,2022-08-24,Bloqueado,1,Limitado por hora
67,14,2023-08-18,Fallido,10,Contraseña incorrecta
67,450,2025-01-29,Exitoso,5,Limitado por hora
68,350,2025-09-21,Bloqueado,7,Dispositivo bloqueado
69,99,2024-09-17,Exitoso,10,Sin problema
69,175,2024-03-30,Bloqueado,9,Sin problema
69,322,2023-05-15,Exitoso,5,Dispositivo bloqueado
69,231,2023-01-29,Bloqueado,5,Contraseña incorrecta
70,142,2024-05-05,Bloqueado,8,Contraseña incorrecta
71,121,2022-04-14,Bloqueado,3,Sin problema
71,516,2023-11-30,Bloqueado,3,Sin problema
72,410,2023-06-14,Fallido,10,Sin problema
72,194,2023-06-13,Fallido,1,Dispositivo bloqueado
72,551,2024-01-04,Fallido,6,Dispositivo bloqueado
73,598,2024-08-22,Bloqueado,5,Contraseña incorrecta
74,36,2023-05-30,Fallido,5,Contraseña incorrecta
74,18,2025-04-29,Fallido,5,Dispositivo bloqueado
74,375,2023-07-08,Bloqueado,2,Contraseña incorrecta
75,75,2022-07-20,Fallido,10,Dispositivo bloqueado
75,598,2023-08-25,Fallido,3,Contraseña incorrecta
76,145,2025-07-02,Bloqueado,10,Dispositivo bloqueado
76,513,2024-07-29,Fallido,3,Limitado por hora
77,225,2022-01-08,Fallido,10,Dispositivo bloqueado
77,350,2022-02-17,Bloqueado,5,Limitado por hora
77,545,2025-08-28,Bloqueado,7,Dispositivo bloqueado
77,69,2024-06-08,Exitoso,9,Contraseña incorrecta
78,14,2023-11-20,Bloqueado,10,Contraseña incorrecta
79,105,2022-12-03,Exitoso,2,Dispositivo bloqueado
79,391,2022-11-23,Exitoso,2,Sin problema
79,445,2024-02-10,Fallido,6,Limitado por hora
80,437,2023-04-01,Exitoso,1,Dispositivo bloqueado
80,198,2023-02-19,Fallido,10,Sin problema
81,357,2024-03-22,Fallido,1,Limitado por hora
82,338,2024-04-06,Bloqueado,5,Sin problema
82,271,2024-03-09,Bloqueado,8,Contraseña incorrecta
82,349,2025-06-21,Exitoso,9,Contraseña incorrecta
83,153,2024-01-25,Fallido,8,Dispositivo bloqueado
83,104,2025-09-06,Fallido,2,Limitado por hora
83,373,2024-05-02,Bloqueado,7,Dispositivo bloqueado
83,475,2024-04-03,Fallido,1,Limitado por hora
84,250,2024-02-24,Fallido,6,Limitado por hora
84,118,2024-07-05,Exitoso,2,Sin problema
85,585,2024-04-17,Fallido,10,Limitado por hora
85,231,2025-06-15,Exitoso,5,Limitado por hora
85,159,2023-04-10,Fallido,5,Contraseña incorrecta
85,434,2025-05-15,Exitoso,9,Dispositivo bloqueado
86,353,2024-05-01,Exitoso,9,Contraseña incorrecta
87,292,2024-06-28,Fallido,5,Sin problema
87,512,2023-03-18,Exitoso,4,Limitado por hora
87,58,2022-08-26,Exitoso,8,Limitado por hora
87,490,2024-02-24,Bloqueado,1,Dispositivo bloqueado
88,290,2023-11-17,Exitoso,4,Dispositivo bloqueado
88,561,2025-11-16,Exitoso,7,Dispositivo bloqueado
89,554,2025-07-09,Bloqueado,1,Limitado por hora
89,112,2024-11-13,Fallido,7,Dispositivo bloqueado
89,568,2024-10-08,Fallido,1,Dispositivo bloqueado
90,401,2023-09-19,Fallido,1,Contraseña incorrecta
90,385,2023-02-20,Bloqueado,3,Dispositivo bloqueado
90,134,2025-01-05,Fallido,7,Contraseña incorrecta
90,148,2024-10-19,Exitoso,10,Contraseña incorrecta
91,468,2023-04-04,Fallido,7,Dispositivo bloqueado
92,429,2024-07-25,Exitoso,10,Sin problema
92,387,2025-10-25,Exitoso,8,Contraseña incorrecta
92,510,2025-10-25,Fallido,3,Contraseña incorrecta
92,424,2024-02-04,Bloqueado,8,Limitado por hora
93,266,2024-07-30,Bloqueado,7,Limitado por hora
94,481,2025-07-11,Exitoso,7,Dispositivo bloqueado
94,29,2022-11-17,Exitoso,7,Sin problema
94,131,2023-02-05,Fallido,10,Dispositivo bloqueado
95,460,2022-12-23,Fallido,5,Sin problema
95,467,2024-05-31,Fallido,9,Contraseña incorrecta
95,433,2022-07-17,Fallido,9,Sin problema
96,593,2025-05-04,Fallido,8,Sin problema
97,209,2024-11-29,Bloqueado,1,Limitado por hora
97,13,2023-03-29,Bloqueado,4,Sin problema
98,404,2024-05-05,Fallido,1,Dispositivo bloqueado
98,198,2023-05-24,Bloqueado,1,Dispositivo bloqueado
98,89,2025-05-12,Bloqueado,4,Limitado por hora
99,407,2025-03-10,Fallido,3,Dispositivo bloqueado
100,427,2025-03-17,Exitoso,2,Sin problema
100,199,2022-01-28,Bloqueado,10,Limitado por hora
100,368,2024-12-17,Fallido,4,Sin problema
101,57,2023-08-31,Fallido,2,Limitado por hora
101,77,2024-03-22,Fallido,2,Contraseña incorrecta
101,4,2024-03-24,Exitoso,6,Dispositivo bloqueado
102,199,2025-03-20,Fallido,2,Sin problema
102,298,2024-11-20,Exitoso,9,Sin problema
102,323,2025-08-29,Fallido,5,Limitado por hora
103,543,2025-12-21,Fallido,1,Contraseña incorrecta
103,308,2025-04-23,Exitoso,9,Limitado por hora
103,69,2023-03-18,Bloqueado,10,Contraseña incorrecta
104,582,2025-11-10,Exitoso,6,Dispositivo bloqueado
104,270,2025-11-06,Fallido,6,Sin problema
104,351,2024-06-15,Exitoso,1,Sin problema
104,331,2022-09-28,Fallido,2,Dispositivo bloqueado
105,456,2025-08-03,Bloqueado,3,Dispositivo bloqueado
105,377,2025-08-03,Fallido,7,Contraseña incorrecta
105,445,2023-03-15,Exitoso,6,Sin problema
106,530,2022-06-21,Fallido,4,Limitado por hora
106,600,2024-06-10,Exitoso,2,Limitado por hora
107,202,2023-02-11,Bloqueado,6,Limitado por hora
107,565,2025-07-12,Exitoso,7,Dispositivo bloqueado
108,41,2025-07-19,Exitoso,2,Dispositivo bloqueado
108,35,2025-12-15,Exitoso,5,Contraseña incorrecta
108,123,2024-05-27,Exitoso,10,Contraseña incorrecta
108,206,2023-10-21,Fallido,3,Sin problema
109,269,2023-02-03,Exitoso,6,Limitado por hora
109,91,2022-12-21,Exitoso,6,Limitado por hora
110,132,2022-05-22,Exitoso,9,Limitado por hora
110,3,2024-02-18,Bloqueado,3,Limitado por hora
110,137,2025-09-27,Bloqueado,9,Limitado por hora
111,146,2023-06-01,Fallido,7,Dispositivo bloqueado
112,239,2022-09-02,Bloqueado,1,Limitado por hora
112,408,2025-08-02,Bloqueado,1,Limitado por hora
112,31,2022-01-31,Bloqueado,10,Limitado por hora
113,563,2025-03-21,Fallido,8,Dispositivo bloqueado
114,234,2025-08-12,Fallido,10,Contraseña incorrecta
114,285,2024-01-16,Bloqueado,8,Sin problema
114,417,2025-12-06,Bloqueado,2,Dispositivo bloqueado
115,212,2023-05-19,Fallido,1,Limitado por hora
115,84,2022-02-05,Bloqueado,2,Contraseña incorrecta
115,168,2023-03-13,Exitoso,3,Contraseña incorrecta
115,23,2023-04-12,Fallido,8,Contraseña incorrecta
116,516,2023-08-03,Fallido,4,Sin problema
116,556,2022-06-26,Fallido,10,Sin problema
116,203,2023-12-03,Exitoso,4,Dispositivo bloqueado
116,132,2022-03-31,Fallido,3,Dispositivo bloqueado
117,282,2022-10-07,Fallido,9,Dispositivo bloqueado
118,79,2025-09-12,Fallido,9,Contraseña incorrecta
119,75,2022-05-14,Fallido,4,Limitado por hora
119,508,2025-02-01,Fallido,9,Limitado por hora
120,199,2025-10-27,Fallido,7,Limitado por hora
120,495,2024-05-27,Bloqueado,7,Contraseña incorrecta
121,56,2022-02-23,Bloqueado,8,Contraseña incorrecta
121,484,2022-01-30,Exitoso,9,Limitado por hora
122,298,2024-06-04,Fallido,4,Dispositivo bloqueado
122,18,2024-12-10,Bloqueado,3,Dispositivo bloqueado
122,462,2022-03-04,Fallido,5,Dispositivo bloqueado
122,357,2023-06-04,Exitoso,9,Contraseña incorrecta
123,525,2025-01-09,Fallido,5,Contraseña incorrecta
123,100,2022-04-07,Bloqueado,5,Contraseña incorrecta
123,557,2022-04-02,Fallido,5,Limitado por hora
124,524,2025-04-23,Bloqueado,4,Sin problema
124,123,2024-12-03,Fallido,1,Sin problema
124,480,2024-01-23,Bloqueado,4,Contraseña incorrecta
125,385,2024-07-13,Fallido,1,Sin problema
125,259,2023-01-07,Fallido,1,Contraseña incorrecta
125,422,2023-11-19,Fallido,9,Dispositivo bloqueado
126,222,2024-11-18,Bloqueado,1,Dispositivo bloqueado
126,223,2024-04-21,Exitoso,5,Limitado por hora
127,397,2024-10-11,Bloqueado,1,Dispositivo bloqueado
128,568,2022-05-07,Fallido,5,Dispositivo bloqueado
128,357,2022-09-26,Bloqueado,3,Dispositivo bloqueado
128,528,2023-01-17,Fallido,10,Sin problema
128,294,2025-01-23,Exitoso,9,Limitado por hora
129,335,2025-03-17,Exitoso,2,Contraseña incorrecta
129,101,2025-12-29,Exitoso,6,Limitado por hora
129,399,2024-12-02,Fallido,10,Dispositivo bloqueado
130,68,2025-01-30,Fallido,2,Limitado por hora
130,331,2024-10-17,Exitoso,5,Sin problema
130,511,2025-02-03,Bloqueado,8,Dispositivo bloqueado
130,122,2022-03-03,Fallido,7,Limitado por hora
131,133,2024-04-22,Exitoso,5,Limitado por hora
131,224,2022-03-07,Exitoso,6,Limitado por hora
132,346,2023-04-22,Fallido,8,Limitado por hora
132,430,2024-03-11,Fallido,4,Limitado por hora
132,29,2023-03-25,Exitoso,2,Sin problema
132,171,2023-07-22,Fallido,9,Limitado por hora
133,367,2023-07-17,Fallido,10,Dispositivo bloqueado
134,104,2025-01-20,Bloqueado,6,Sin problema
134,421,2024-11-16,Exitoso,3,Limitado por hora
134,430,2022-10-17,Bloqueado,10,Sin problema
135,225,2024-09-20,Exitoso,1,Dispositivo bloqueado
135,429,2022-01-24,Exitoso,4,Contraseña incorrecta
136,284,2024-07-01,Bloqueado,4,Contraseña incorrecta
137,188,2022-09-21,Fallido,4,Limitado por hora
137,324,2025-01-11,Bloqueado,2,Sin problema
137,437,2022-10-02,Fallido,10,Limitado por hora
137,457,2022-05-13,Bloqueado,6,Sin problema
138,275,2025-10-03,Fallido,8,Limitado por hora
139,394,2023-02-19,Exitoso,6,Contraseña incorrecta
140,412,2022-10-19,Bloqueado,8,Limitado por hora
141,96,2024-11-27,Bloqueado,10,Sin problema
142,572,2023-04-18,Bloqueado,5,Dispositivo bloqueado
142,38,2022-09-25,Fallido,1,Contraseña incorrecta
143,569,2025-01-15,Bloqueado,10,Limitado por hora
143,289,2025-07-22,Bloqueado,4,Dispositivo bloqueado
143,313,2022-05-05,Bloqueado,6,Dispositivo bloqueado
144,2,2023-09-06,Bloqueado,6,Dispositivo bloqueado
144,184,2024-10-28,Fallido,7,Limitado por hora
145,444,2024-07-13,Fallido,4,Limitado por hora
145,419,2025-02-21,Bloqueado,2,Dispositivo bloqueado
145,351,2025-08-14,Exitoso,10,Contraseña incorrecta
146,90,2023-02-14,Bloqueado,4,Limitado por hora
146,209,2023-01-21,Exitoso,7,Dispositivo bloqueado
146,54,2024-12-01,Exitoso,10,Dispositivo bloqueado
147,294,2025-02-25,Bloqueado,1,Contraseña incorrecta
147,25,2024-12-02,Fallido,3,Limitado por hora
147,240,2024-01-01,Bloqueado,10,Sin problema
148,96,2023-10-09,Fallido,9,Limitado por hora
148,264,2025-12-14,Fallido,9,Contraseña incorrecta
149,82,2022-12-10,Exitoso,6,Contraseña incorrecta
149,523,2024-07-05,Exitoso,1,Sin problema
149,589,2022-04-08,Fallido,3,Dispositivo bloqueado
149,437,2024-02-03,Exitoso,2,Contraseña incorrecta
150,362,2024-04-10,Exitoso,5,Dispositivo bloqueado
150,225,2024-08-02,Fallido,3,Contraseña incorrecta
151,435,2024-05-07,Fallido,5,Dispositivo bloqueado
152,431,2024-10-11,Exitoso,4,Limitado por hora
152,50,2024-06-19,Exitoso,2,Sin problema
152,580,2024-02-07,Bloqueado,6,Limitado por hora
152,362,2023-04-24,Bloqueado,9,Contraseña incorrecta
153,464,2025-02-11,Fallido,4,Limitado por hora
153,96,2022-07-30,Fallido,2,Dispositivo bloqueado
153,414,2025-06-19,Exitoso,2,Limitado por hora
154,514,2025-02-21,Fallido,6,Sin problema
155,564,2025-04-22,Exitoso,9,Limitado por hora
155,143,2023-04-29,Bloqueado,4,Limitado por hora
155,531,2023-07-02,Exitoso,9,Limitado por hora
156,589,2024-01-16,Fallido,2,Dispositivo bloqueado
157,182,2022-08-06,Exitoso,1,Sin problema
157,265,2024-09-24,Bloqueado,2,Dispositivo bloqueado
157,46,2024-06-08,Bloqueado,6,Limitado por hora
157,529,2023-11-26,Bloqueado,1,Sin problema
158,455,2022-01-09,Bloqueado,7,Sin problema
158,310,2024-05-16,Exitoso,10,Sin problema
159,146,2024-07-30,Bloqueado,5,Contraseña incorrecta
160,483,2024-11-02,Exitoso,8,Limitado por hora
160,142,2023-05-01,Exitoso,5,Limitado por hora
161,96,2022-10-26,Fallido,1,Dispositivo bloqueado
162,161,2025-07-02,Exitoso,7,Limitado por hora
162,167,2023-04-24,Fallido,3,Sin problema
162,97,2023-04-21,Fallido,3,Sin problema
162,258,2024-11-09,Fallido,7,Contraseña incorrecta
163,151,2025-12-14,Bloqueado,9,Limitado por hora
164,515,2022-08-13,Exitoso,9,Sin problema
164,207,2022-09-03,Bloqueado,7,Dispositivo bloqueado
165,374,2025-04-23,Exitoso,4,Dispositivo bloqueado
165,517,2023-01-18,Bloqueado,7,Contraseña incorrecta
166,289,2024-07-03,Bloqueado,9,Contraseña incorrecta
166,305,2023-11-10,Bloqueado,10,Sin problema
166,534,2024-10-17,Bloqueado,2,Contraseña incorrecta
166,219,2025-03-09,Exitoso,8,Contraseña incorrecta
167,134,2025-02-07,Bloqueado,3,Contraseña incorrecta
167,188,2025-12-11,Bloqueado,8,Dispositivo bloqueado
168,95,2023-02-21,Bloqueado,8,Sin problema
168,382,2023-10-16,Fallido,5,Sin problema
168,344,2025-11-12,Fallido,8,Dispositivo bloqueado
169,197,2023-01-10,Fallido,2,Contraseña incorrecta
169,432,2025-06-22,Exitoso,8,Sin problema
169,162,2025-08-05,Fallido,10,Sin problema
170,108,2022-01-26,Bloqueado,8,Sin problema
170,484,2025-02-02,Fallido,9,Limitado por hora
170,508,2023-12-31,Bloqueado,4,Limitado por hora
171,1,2023-07-20,Fallido,5,Dispositivo bloqueado
172,289,2022-10-14,Fallido,6,Contraseña incorrecta
172,478,2023-03-16,Fallido,4,Contraseña incorrecta
172,407,2025-11-10,Bloqueado,6,Contraseña incorrecta
172,462,2022-10-29,Fallido,5,Dispositivo bloqueado
173,124,2022-12-01,Exitoso,7,Dispositivo bloqueado
173,75,2023-08-18,Bloqueado,4,Limitado por hora
173,167,2022-04-06,Exitoso,10,Sin problema
173,148,2023-12-10,Bloqueado,9,Dispositivo bloqueado
174,320,2022-04-15,Exitoso,10,Limitado por hora
174,18,2024-11-06,Bloqueado,6,Contraseña incorrecta
175,23,2024-06-10,Bloqueado,5,Sin problema
175,79,2023-02-25,Fallido,5,Limitado por hora
175,512,2025-02-14,Exitoso,7,Contraseña incorrecta
175,503,2024-02-18,Bloqueado,3,Dispositivo bloqueado
176,71,2022-01-13,Fallido,10,Contraseña incorrecta
176,115,2025-01-22,Exitoso,5,Dispositivo bloqueado
176,497,2025-06-01,Fallido,1,Dispositivo bloqueado
176,39,2025-11-12,Fallido,2,Dispositivo bloqueado
177,14,2024-04-17,Exitoso,4,Dispositivo bloqueado
177,430,2025-07-21,Exitoso,8,Sin problema
177,395,2022-06-04,Exitoso,6,Sin problema
178,102,2024-09-21,Exitoso,10,Dispositivo bloqueado
179,452,2022-11-02,Bloqueado,2,Limitado por hora
179,495,2023-06-21,Exitoso,9,Dispositivo bloqueado
180,592,2024-06-23,Fallido,4,Sin problema
180,121,2024-01-13,Bloqueado,5,Dispositivo bloqueado
180,66,2024-05-12,Fallido,4,Contraseña incorrecta
180,542,2022-09-25,Bloqueado,9,Contraseña incorrecta
181,473,2022-01-04,Exitoso,10,Limitado por hora
181,259,2022-08-04,Bloqueado,9,Limitado por hora
181,565,2022-10-09,Bloqueado,8,Dispositivo bloqueado
181,502,2022-07-16,Bloqueado,9,Limitado por hora
182,199,2022-04-17,Bloqueado,8,Dispositivo bloqueado
182,356,2024-08-27,Bloqueado,7,Sin problema
183,325,2025-02-09,Fallido,2,Contraseña incorrecta
183,7,2022-03-17,Bloqueado,10,Contraseña incorrecta
183,165,2022-12-03,Exitoso,7,Dispositivo bloqueado
183,412,2022-12-31,Exitoso,7,Limitado por hora
184,177,2025-06-15,Bloqueado,4,Limitado por hora
184,87,2025-04-27,Bloqueado,5,Sin problema
184,30,2023-01-07,Bloqueado,3,Limitado por hora
184,207,2024-11-12,Bloqueado,1,Contraseña incorrecta
185,320,2025-05-06,Bloqueado,3,Sin problema
185,237,2022-06-02,Fallido,2,Contraseña incorrecta
185,174,2024-06-01,Fallido,9,Sin problema
185,453,2024-08-05,Exitoso,10,Contraseña incorrecta
186,480,2024-12-23,Exitoso,7,Contraseña incorrecta
186,426,2024-12-23,Exitoso,3,Contraseña incorrecta
186,18,2023-10-29,Bloqueado,4,Contraseña incorrecta
187,142,2024-05-21,Exitoso,1,Sin problema
187,91,2025-01-09,Bloqueado,2,Contraseña incorrecta
187,251,2022-02-03,Fallido,4,Sin problema
188,146,2022-12-07,Exitoso,3,Dispositivo bloqueado
189,426,2023-12-19,Exitoso,2,Sin problema
189,80,2022-03-06,Fallido,5,Dispositivo bloqueado
190,49,2023-12-14,Bloqueado,1,Sin problema
190,591,2022-06-13,Exitoso,10,Limitado por hora
191,330,2024-10-30,Exitoso,9,Dispositivo bloqueado
192,86,2025-11-21,Exitoso,6,Sin problema
193,110,2022-12-06,Exitoso,6,Sin problema
193,78,2022-08-21,Exitoso,9,Limitado por hora
193,340,2022-05-03,Bloqueado,3,Limitado por hora
194,43,2023-02-04,Bloqueado,1,Limitado por hora
194,253,2025-02-16,Exitoso,8,Sin problema
194,292,2025-05-24,Exitoso,8,Sin problema
194,96,2022-03-06,Fallido,6,Sin problema
195,126,2023-06-08,Fallido,9,Sin problema
195,507,2023-10-14,Fallido,2,Sin problema
