id_usuario_1,id_usuario_2,fecha_investigacion,nivel_riesgo,razon,investigador
118,347,2023-03-31,Medio,Actividad sospechosa,Inv_4
119,747,2023-06-14,Medio,Conexiones comunes,Inv_10
119,228,2024-08-10,Bajo,Conexiones comunes,Inv_8
119,650,2023-11-04,Medio,Conexiones comunes,Inv_5
121,645,2022-06-26,Medio,Actividad sospechosa,Inv_3
122,123,2022-06-01,Alto,Actividad sospechosa,Inv_5
123,976,2025-11-30,Medio,Patrones similares,Inv_1
123,912,2023-12-12,Medio,Conexiones comunes,Inv_4
124,104,2024-03-23,Alto,Actividad sospechosa,Inv_9
125,901,2023-12-22,Medio,Patrones similares,Inv_3
125,397,2025-05-05,Medio,Conexiones comunes,Inv_1
126,991,2024-12-06,Bajo,Actividad sospechosa,Inv_7
126,56,2024-08-05,Bajo,Patrones similares,Inv_9
127,801,2025-03-30,Alto,Patrones similares,Inv_10
127,154,2024-12-25,Alto,Actividad sospechosa,Inv_7
128,518,2025-03-30,Alto,Patrones similares,Inv_2
128,32,2024-03-30,Alto,Actividad sospechosa,Inv_6
128,964,2023-01-04,Alto,Conexiones comunes,Inv_5
129,752,2023-02-05,Bajo,Conexiones comunes,Inv_3
129,677,2023-03-09,Alto,Conexiones comunes,Inv_2
130,889,2022-07-15,Medio,Patrones similares,Inv_8
130,19,2024-08-01,Alto,Patrones similares,Inv_8
131,723,2022-10-13,Bajo,Patrones similares,Inv_6
131,55,2023-01-11,Alto,Actividad sospechosa,Inv_5
133,584,2025-06-10,Bajo,Actividad sospechosa,Inv_8
133,486,2025-02-22,Alto,Patrones similares,Inv_1
133,954,2023-06-22,Alto,Conexiones comunes,Inv_10
135,791,2025-05-08,Bajo,Actividad sospechosa,Inv_6
135,886,2023-06-28,Bajo,Conexiones comunes,Inv_9
136,536,2023-08-02,Alto,Patrones similares,Inv_5
136,108,2023-09-22,Medio,Patrones similares,Inv_5
136,7,2025-10-24,Alto,Actividad sospechosa,Inv_8
137,835,2025-03-26,Medio,Patrones similares,Inv_6
137,715,2024-03-31,Alto,Actividad sospechosa,Inv_3
137,138,2025-04-26,Bajo,Actividad sospechosa,Inv_4
138,648,2025-04-07,Bajo,Actividad sospechosa,Inv_2
138,408,2025-02-09,Alto,Conexiones comunes,Inv_1
138,316,2025-12-02,Medio,Conexiones comunes,Inv_4
139,12,2025-06-30,Alto,Actividad sospechosa,Inv_5
140,794,2025-08-06,Alto,Patrones similares,Inv_5
140,105,2023-10-06,Alto,Actividad sospechosa,Inv_3
140,786,2024-10-23,Medio,Patrones similares,Inv_8
141,503,2024-07-24,Medio,Patrones similares,Inv_7
141,345,2023-05-11,Medio,Conexiones comunes,Inv_7
141,753,2024-02-08,Medio,Actividad sospechosa,Inv_6
142,211,2025-11-01,Medio,Patrones similares,Inv_7
142,304,2023-04-30,Medio,Patrones similares,Inv_2
142,97,2024-04-09,Alto,Conexiones comunes,Inv_10
143,900,2022-10-11,Medio,Patrones similares,Inv_8
143,121,2024-05-31,Alto,Conexiones comunes,Inv_5
144,561,2022-12-02,Medio,Conexiones comunes,Inv_4
144,280,2023-02-22,Bajo,Conexiones comunes,Inv_2
144,11,2022-09-09,Bajo,Patrones similares,Inv_3
145,711,2022-08-29,Medio,Actividad sospechosa,Inv_2
146,79,2022-04-20,Bajo,Patrones similares,Inv_3
146,47,2022-06-17,Alto,Conexiones comunes,Inv_5
147,265,2025-12-05,Alto,Patrones similares,Inv_6
147,704,2024-08-30,Alto,Conexiones comunes,Inv_2
147,603,2023-07-16,Bajo,Patrones similares,Inv_9
149,757,2022-05-19,Bajo,Conexiones comunes,Inv_6
150,269,2024-09-05,Alto,Patrones similares,Inv_9
152,45,2025-04-12,Bajo,Conexiones comunes,Inv_9
152,660,2024-01-14,Medio,Conexiones comunes,Inv_4
152,420,2025-11-22,Medio,Patrones similares,Inv_6
153,183,2025-10-18,Medio,Actividad sospechosa,Inv_8
153,63,2022-12-19,Medio,Actividad sospechosa,Inv_2
154,844,2025-09-16,Medio,Conexiones comunes,Inv_7
154,447,2025-05-27,Alto,Patrones similares,Inv_1
155,794,2025-12-02,Bajo,Actividad sospechosa,Inv_8
155,153,2022-09-27,Bajo,Actividad sospechosa,Inv_2
155,738,2024-12-07,Alto,Conexiones comunes,Inv_1
156,965,2025-11-18,Bajo,Patrones similares,Inv_5
156,774,2023-07-21,Medio,Patrones similares,Inv_10
156,451,2024-01-08,Bajo,Actividad sospechosa,Inv_3
158,978,2024-11-17,Alto,Conexiones comunes,Inv_7
160,571,2023-09-13,Medio,Patrones similares,Inv_3
161,530,2023-02-14,Medio,Actividad sospechosa,Inv_3
161,675,2024-02-15,Alto,Actividad sospechosa,Inv_5
161,633,2023-08-30,Bajo,Actividad sospechosa,Inv_5
162,614,2022-04-24,Medio,Conexiones comunes,Inv_8
162,335,2022-06-17,Medio,Patrones similares,Inv_8
162,649,2025-05-25,Bajo,Conexiones comunes,Inv_1
163,22,2025-01-10,Bajo,Patrones similares,Inv_9
163,151,2022-01-24,Alto,Patrones similares,Inv_1
163,699,2025-07-27,Bajo,Actividad sospechosa,Inv_8
165,654,2024-09-13,Alto,Actividad sospechosa,Inv_3
165,641,2023-07-04,Medio,Conexiones comunes,Inv_6
165,208,2022-01-10,Alto,Patrones similares,Inv_3
166,976,2022-12-15,Bajo,Patrones similares,Inv_9
168,639,2022-02-12,Bajo,Conexiones comunes,Inv_9
168,839,2023-03-21,Bajo,Actividad sospechosa,Inv_3
168,234,2022-12-07,Medio,Patrones similares,Inv_4
169,266,2022-10-11,Medio,Patrones similares,Inv_7
169,871,2022-04-29,Alto,Patrones similares,Inv_9
171,776,2025-01-17,Alto,Actividad sospechosa,Inv_10
171,278,2025-01-14,Alto,Patrones similares,Inv_3
172,703,2023-01-28,Bajo,Patrones similares,Inv_9
173,436,2024-03-20,Bajo,Actividad sospechosa,Inv_10
173,581,2024-06-29,Bajo,Patrones similares,Inv_9
175,202,2022-10-28,Bajo,Patrones similares,Inv_4
175,457,2025-11-19,Medio,Actividad sospechosa,Inv_3
175,83,2023-06-17,Medio,Actividad sospechosa,Inv_6
176,264,2024-07-03,Bajo,Patrones similares,Inv_8
176,29,2022-04-16,Medio,Actividad sospechosa,Inv_10
177,822,2023-06-24,Medio,Patrones similares,Inv_3
177,674,2023-12-04,Alto,Actividad sospechosa,Inv_8
177,206,2022-03-07,Bajo,Conexiones comunes,Inv_5
178,664,2022-04-17,Alto,Patrones similares,Inv_8
178,860,2023-07-05,Bajo,Patrones similares,Inv_1
180,675,2022-01-10,Alto,Actividad sospechosa,Inv_4
180,3,2025-08-01,Medio,Conexiones comunes,Inv_4
180,978,2024-06-09,Alto,Actividad sospechosa,Inv_7
181,779,2024-01-15,Alto,Conexiones comunes,Inv_10
181,532,2024-06-23,Medio,Patrones similares,Inv_6
181,480,2023-04-25,Bajo,Patrones similares,Inv_6
182,514,2023-03-10,Medio,Actividad sospechosa,Inv_1
183,253,2024-12-29,Alto,Actividad sospechosa,Inv_10
184,801,2025-10-14,Bajo,Conexiones comunes,Inv_7
184,609,2023-08-16,Alto,Conexiones comunes,Inv_7
186,475,2024-12-10,Bajo,Patrones similares,Inv_1
187,621,2025-07-18,Medio,Patrones similares,Inv_5
187,554,2022-03-15,Alto,Actividad sospechosa,Inv_6
187,163,2022-11-24,Medio,Actividad sospechosa,Inv_3
188,336,2024-05-23,Bajo,Conexiones comunes,Inv_4
188,920,2024-07-03,Bajo,Patrones similares,Inv_2
188,488,2025-11-20,Bajo,Patrones similares,Inv_2
189,329,2025-07-30,Medio,Conexiones comunes,Inv_7
189,466,2024-07-30,Medio,Conexiones comunes,Inv_4
189,378,2022-08-18,Bajo,Conexiones comunes,Inv_8
190,888,2023-09-01,Medio,Actividad sospechosa,Inv_10
190,809,2025-05-25,Alto,Actividad sospechosa,Inv_1
191,972,2022-09-12,Alto,Conexiones comunes,Inv_8
191,643,2024-10-03,Alto,Actividad sospechosa,Inv_9
191,54,2023-04-27,Bajo,Patrones similares,Inv_5
192,225,2025-10-13,Alto,Actividad sospechosa,Inv_1
194,230,2023-09-12,Bajo,Actividad sospechosa,Inv_8
196,724,2023-10-03,Alto,Patrones similares,Inv_4
196,632,2025-07-04,Bajo,Patrones similares,Inv_4
198,770,2024-01-27,Medio,Patrones similares,Inv_2
199,452,2023-03-27,Bajo,Patrones similares,Inv_10
200,816,2025-11-23,Bajo,Conexiones comunes,Inv_9
200,921,2024-11-20,Alto,Actividad sospechosa,Inv_9
202,719,2024-01-18,Alto,Actividad sospechosa,Inv_8
202,234,2022-10-10,Alto,Patrones similares,Inv_10
202,137,2024-09-12,Alto,Patrones similares,Inv_10
203,929,2024-12-04,Bajo,Actividad sospechosa,Inv_10
204,216,2025-03-29,Bajo,Actividad sospechosa,Inv_1
204,430,2023-01-01,Bajo,Conexiones comunes,Inv_7
204,851,2024-07-31,Alto,Conexiones comunes,Inv_4
206,556,2022-05-11,Medio,Actividad sospechosa,Inv_2
207,559,2024-03-15,Medio,Patrones similares,Inv_8
207,665,2024-02-17,Alto,Actividad sospechosa,Inv_9
208,868,2023-06-10,Medio,Conexiones comunes,Inv_10
208,66,2022-09-03,Alto,Conexiones comunes,Inv_2
208,44,2022-08-05,Medio,Conexiones comunes,Inv_3
209,797,2022-12-25,Medio,Conexiones comunes,Inv_8
209,235,2022-01-31,Alto,Patrones similares,Inv_9
209,765,2022-04-06,Alto,Conexiones comunes,Inv_3
210,516,2023-09-10,Bajo,Patrones similares,Inv_1
210,135,2022-11-27,Alto,Actividad sospechosa,Inv_8
211,497,2025-11-16,Medio,Patrones similares,Inv_2
212,863,2022-12-11,Medio,Actividad sospechosa,Inv_3
212,248,2022-05-22,Bajo,Actividad sospechosa,Inv_5
213,295,2022-05-19,Alto,Conexiones comunes,Inv_7
214,556,2022-11-21,Medio,Conexiones comunes,Inv_8
215,814,2025-04-08,Medio,Patrones similares,Inv_8
215,452,2024-08-12,Bajo,Actividad sospechosa,Inv_10
216,418,2022-02-24,Medio,Patrones similares,Inv_5
216,976,2024-03-18,Alto,Conexiones comunes,Inv_8
217,919,2022-05-05,Alto,Conexiones comunes,Inv_9
217,238,2023-06-16,Alto,Actividad sospechosa,Inv_9
218,801,2025-07-05,Alto,Actividad sospechosa,Inv_8
218,97,2024-05-24,Alto,Conexiones comunes,Inv_7
218,808,2022-11-21,Alto,Patrones similares,Inv_10
220,492,2023-01-31,Medio,Patrones similares,Inv_6
220,248,2025-05-07,Bajo,Actividad sospechosa,Inv_2
220,88,2022-01-27,Bajo,Patrones similares,Inv_8
221,554,2023-04-30,Bajo,Actividad sospechosa,Inv_3
221,751,2024-04-16,Bajo,Conexiones comunes,Inv_5
221,73,2025-04-16,Alto,Conexiones comunes,Inv_1
222,934,2023-01-11,Bajo,Conexiones comunes,Inv_1
224,237,2025-07-03,Alto,Patrones similares,Inv_3
225,997,2023-06-13,Alto,Conexiones comunes,Inv_6
225,272,2025-09-13,Alto,Conexiones comunes,Inv_5
225,788,2023-08-03,Medio,Patrones similares,Inv_8
226,727,2025-05-13,Bajo,Conexiones comunes,Inv_5
226,817,2024-06-15,Alto,Actividad sospechosa,Inv_8
226,945,2022-06-05,Medio,Conexiones comunes,Inv_1
227,948,2024-03-13,Alto,Conexiones comunes,Inv_8
227,583,2025-03-29,Alto,Conexiones comunes,Inv_3
227,889,2022-01-12,Alto,Conexiones comunes,Inv_2
228,484,2024-05-28,Alto,Actividad sospechosa,Inv_3
229,464,2024-02-09,Bajo,Actividad sospechosa,Inv_3
230,738,2025-05-24,Bajo,Patrones similares,Inv_9
230,505,2024-11-26,Medio,Actividad sospechosa,Inv_1
232,513,2022-06-07,Bajo,Patrones similares,Inv_3
233,223,2023-10-10,Alto,Actividad sospechosa,Inv_2
233,375,2024-06-08,Medio,Patrones similares,Inv_1
233,178,2024-03-07,Bajo,Patrones similares,Inv_6
235,197,2023-10-12,Medio,Patrones similares,Inv_9
236,298,2023-04-16,Medio,Actividad sospechosa,Inv_3
236,817,2025-01-13,Bajo,Actividad sospechosa,Inv_5
239,364,2025-11-28,Bajo,Patrones similares,Inv_1
240,252,2023-01-17,Bajo,Actividad sospechosa,Inv_2
240,554,2022-11-17,Alto,Actividad sospechosa,Inv_2
241,299,2024-09-13,Alto,Conexiones comunes,Inv_7
242,934,2025-09-15,Medio,Actividad sospechosa,Inv_4
242,27,2023-01-30,Bajo,Conexiones comunes,Inv_3
242,612,2023-06-30,Bajo,Actividad sospechosa,Inv_10
243,897,2024-08-31,Medio,Patrones similares,Inv_4
244,426,2025-10-29,Alto,Conexiones comunes,Inv_9
244,116,2023-09-13,Alto,Actividad sospechosa,Inv_2
244,731,2025-05-04,Alto,Conexiones comunes,Inv_8
246,833,2023-10-31,Bajo,Actividad sospechosa,Inv_3
246,3,2024-11-07,Alto,Conexiones comunes,Inv_10
247,359,2023-05-27,Alto,Conexiones comunes,Inv_2
247,929,2025-03-13,Medio,Patrones similares,Inv_6
247,959,2024-04-05,Alto,Conexiones comunes,Inv_6
248,711,2023-06-01,Bajo,Patrones similares,Inv_1
249,373,2022-12-24,Alto,Conexiones comunes,Inv_10
249,633,2024-08-28,Bajo,Patrones similares,Inv_6
249,484,2025-09-10,Alto,Conexiones comunes,Inv_1
250,932,2022-12-24,Medio,Actividad sospechosa,Inv_4
252,908,2023-01-14,Medio,Patrones similares,Inv_6
253,902,2023-08-08,Alto,Actividad sospechosa,Inv_6
253,952,2023-10-07,Alto,Patrones similares,Inv_4
255,591,2023-10-12,Alto,Patrones similares,Inv_6
255,258,2024-05-26,Medio,Conexiones comunes,Inv_3
255,244,2025-06-21,Medio,Conexiones comunes,Inv_8
256,578,2022-01-23,Medio,Conexiones comunes,Inv_2
257,207,2025-01-18,Bajo,Conexiones comunes,Inv_7
257,186,2024-04-08,Medio,Actividad sospechosa,Inv_5
257,14,2025-05-31,Alto,Actividad sospechosa,Inv_1
258,214,2024-08-13,Alto,Patrones similares,Inv_3
258,633,2022-08-17,Medio,Conexiones comunes,Inv_5
258,546,2022-01-31,Bajo,Conexiones comunes,Inv_2
259,650,2025-09-29,Medio,Conexiones comunes,Inv_5
259,26,2025-10-22,Alto,Patrones similares,Inv_10
261,392,2023-11-13,Bajo,Actividad sospechosa,Inv_6
261,766,2024-12-06,Medio,Actividad sospechosa,Inv_5
263,585,2023-01-03,Bajo,Actividad sospechosa,Inv_4
263,858,2023-11-03,Alto,Conexiones comunes,Inv_1
264,139,2025-04-30,Bajo,Conexiones comunes,Inv_2
266,792,2023-09-07,Alto,Actividad sospechosa,Inv_7
266,194,2024-04-30,Alto,Patrones similares,Inv_9
266,753,2022-04-05,Medio,Actividad sospechosa,Inv_5
267,987,2022-03-10,Medio,Patrones similares,Inv_5
267,235,2023-11-22,Alto,Actividad sospechosa,Inv_2
267,499,2024-02-07,Alto,Patrones similares,Inv_2
268,165,2024-05-14,Bajo,Patrones similares,Inv_9
268,690,2023-06-23,Medio,Conexiones comunes,Inv_4
268,947,2025-08-13,Bajo,Conexiones comunes,Inv_8
269,107,2023-01-03,Medio,Conexiones comunes,Inv_1
269,541,2025-01-01,Alto,Actividad sospechosa,Inv_10
269,499,2024-01-08,Medio,Actividad sospechosa,Inv_6
270,910,2024-08-26,Alto,Actividad sospechosa,Inv_8
272,729,2024-05-08,Alto,Actividad sospechosa,Inv_1
272,639,2024-04-08,Medio,Patrones similares,Inv_2
272,589,2025-01-29,Alto,Actividad sospechosa,Inv_8
273,660,2023-09-13,Alto,Conexiones comunes,Inv_4
273,811,2023-01-06,Bajo,Conexiones comunes,Inv_8
274,301,2023-10-14,Medio,Conexiones comunes,Inv_8
274,946,2025-10-28,Medio,Patrones similares,Inv_7
276,756,2023-11-26,Alto,Actividad sospechosa,Inv_9
276,686,2023-01-26,Medio,Actividad sospechosa,Inv_6
277,291,2023-04-20,Bajo,Conexiones comunes,Inv_6
277,316,2022-06-18,Bajo,Actividad sospechosa,Inv_6
277,437,2024-01-16,Bajo,Conexiones comunes,Inv_8
280,837,2024-02-24,Bajo,Conexiones comunes,Inv_7
280,910,2025-07-01,Alto,Actividad sospechosa,Inv_2
282,129,2024-07-11,Alto,Patrones similares,Inv_1
282,47,2025-02-17,Medio,Conexiones comunes,Inv_7
283,837,2022-07-28,Medio,Actividad sospechosa,Inv_5
284,41,2024-03-29,Alto,Conexiones comunes,Inv_5
284,578,2023-02-16,Bajo,Patrones similares,Inv_8
284,343,2023-11-05,Alto,Actividad sospechosa,Inv_4
285,744,2023-04-06,Bajo,Actividad sospechosa,Inv_2
286,596,2023-05-25,Alto,Patrones similares,Inv_6
286,872,2023-08-08,Alto,Conexiones comunes,Inv_10
287,514,2025-07-14,Bajo,Actividad sospechosa,Inv_1
288,440,2024-06-09,Medio,Patrones similares,Inv_5
288,512,2025-06-04,Medio,Actividad sospechosa,Inv_2
288,36,2025-03-08,Bajo,Patrones similares,Inv_3
293,918,2022-12-10,Alto,Conexiones comunes,Inv_7
294,870,2022-07-04,Medio,Actividad sospechosa,Inv_1
294,521,2024-11-13,Medio,Conexiones comunes,Inv_5
294,711,2025-07-03,Alto,Actividad sospechosa,Inv_2
295,997,2022-10-22,Medio,Actividad sospechosa,Inv_8
295,797,2024-04-27,Medio,Patrones similares,Inv_3
295,885,2025-06-01,Medio,Patrones similares,Inv_6
298,137,2025-03-21,Bajo,Conexiones comunes,Inv_4
299,208,2024-07-23,Medio,Actividad sospechosa,Inv_3
299,1000,2024-09-12,Bajo,Actividad sospechosa,Inv_8
300,764,2024-03-18,Bajo,Conexiones comunes,Inv_3
300,296,2022-10-07,Alto,Patrones similares,Inv_4
300,544,2022-02-20,Bajo,Actividad sospechosa,Inv_1
